operator,horizon_hours,tau,method,group,covered,n,folds,coverage,gap,ci_lo,ci_hi,passes,decisive
gp,1.5,0.95,adaptive,elevated_risk,161,179,6,0.8994413407821229,-0.050558659217877056,0.8457338147719589,0.9393061066103165,False,True
gp,1.5,0.95,marginal,ALL,494,533,8,0.926829268292683,-0.023170731707316983,0.9013283203086105,0.9474540811301817,False,True
gp,1.5,0.95,marginal,baseline,339,354,8,0.9576271186440678,0.007627118644067843,0.9310746122424903,0.9760933453557903,True,False
gp,1.5,0.95,marginal,elevated_risk,155,179,6,0.8659217877094972,-0.08407821229050272,0.8070998733417266,0.9121676836305389,False,True
gp,1.5,0.95,mondrian,ALL,501,533,8,0.9399624765478424,-0.010037523452157582,0.9162989674480849,0.9585756358279084,True,False
gp,1.5,0.95,mondrian,baseline,334,354,8,0.943502824858757,-0.006497175141242928,0.9140908997191299,0.965152213406341,True,False
gp,1.5,0.95,mondrian,elevated_risk,167,179,6,0.9329608938547486,-0.017039106145251393,0.8858248186687775,0.9648827970266256,True,False
gp,3.0,0.8,aci,ALL,428,533,8,0.8030018761726079,0.0030018761726078314,0.7666557488163094,0.8359472146827688,True,False
gp,3.0,0.8,aci,baseline,289,354,8,0.8163841807909604,0.01638418079096038,0.7720466273736334,0.8553351178584556,True,False
gp,3.0,0.8,aci,elevated_risk,139,179,6,0.776536312849162,-0.02346368715083802,0.708381128779163,0.8352982062316037,False,False
gp,3.0,0.8,adaptive,ALL,420,533,8,0.7879924953095685,-0.012007504690431547,0.7508032906969274,0.8219523543678253,True,False
gp,3.0,0.8,adaptive,baseline,285,354,8,0.8050847457627118,0.005084745762711784,0.7599196401339076,0.8450605907898048,True,False
gp,3.0,0.8,adaptive,elevated_risk,135,179,6,0.7541899441340782,-0.045810055865921795,0.6844022280629187,0.8153584615224043,False,False
gp,3.0,0.8,marginal,ALL,409,533,8,0.7673545966228893,-0.03264540337711075,0.7291183281607534,0.8025962103977724,False,False
gp,3.0,0.8,marginal,baseline,288,354,8,0.8135593220338984,0.013559322033898313,0.7690097605196238,0.8527716910176504,True,False
gp,3.0,0.8,marginal,elevated_risk,121,179,6,0.6759776536312849,-0.12402234636871512,0.6021242167447242,0.7438888511539962,False,True
gp,3.0,0.8,mondrian,ALL,405,533,8,0.7598499061913696,-0.04015009380863044,0.7212629135428663,0.795527333157019,False,True
gp,3.0,0.8,mondrian,baseline,273,354,8,0.7711864406779662,-0.028813559322033888,0.7238417583751822,0.8139293565504532,False,False
gp,3.0,0.8,mondrian,elevated_risk,132,179,6,0.7374301675977654,-0.06256983240223468,0.6665654824772332,0.8002529625957822,False,False
gp,3.0,0.9,aci,ALL,481,533,8,0.9024390243902439,0.0024390243902439046,0.8740322972500005,0.9262766094870852,True,False
gp,3.0,0.9,aci,baseline,323,354,8,0.9124293785310734,0.012429378531073398,0.8780039227708222,0.9397244062489941,True,False
gp,3.0,0.9,aci,elevated_risk,158,179,6,0.88268156424581,-0.01731843575419001,0.8262703763131881,0.9258918721993804,True,False
gp,3.0,0.9,adaptive,ALL,491,533,8,0.9212007504690432,0.021200750469043128,0.8949771429139072,0.9426206073167207,False,False
gp,3.0,0.9,adaptive,baseline,333,354,8,0.940677966101695,0.04067796610169494,0.9107470145618687,0.9629073602127269,False,True
gp,3.0,0.9,adaptive,elevated_risk,158,179,6,0.88268156424581,-0.01731843575419001,0.8262703763131881,0.9258918721993804,True,False
gp,3.0,0.9,marginal,ALL,468,533,8,0.8780487804878049,-0.02195121951219514,0.8472164409472979,0.9046068452393408,False,False
gp,3.0,0.9,marginal,baseline,321,354,8,0.9067796610169492,0.006779661016949157,0.8715766927953176,0.9349607779079772,True,False
gp,3.0,0.9,marginal,elevated_risk,147,179,6,0.8212290502793296,-0.07877094972067045,0.7571055358223309,0.8743904719739906,False,True
gp,3.0,0.9,mondrian,ALL,475,533,8,0.8911819887429644,-0.00881801125703563,0.8616050997664665,0.9163269277187513,True,False
gp,3.0,0.9,mondrian,baseline,313,354,8,0.884180790960452,-0.015819209039548032,0.8461714351627461,0.915591542061467,True,False
gp,3.0,0.9,mondrian,elevated_risk,162,179,6,0.9050279329608939,0.005027932960893877,0.8522969488890902,0.9436972185220708,True,False
gp,3.0,0.95,aci,ALL,504,533,8,0.9455909943714822,-0.004409005628517759,0.9227915867772116,0.9632623184792398,True,False
gp,3.0,0.95,aci,baseline,340,354,8,0.96045197740113,0.01045197740113002,0.9345348246083545,0.9782129060829337,True,False
gp,3.0,0.95,aci,elevated_risk,164,179,6,0.9162011173184358,-0.03379888268156417,0.8655535991702827,0.9523393142075304,False,False
gp,3.0,0.95,adaptive,ALL,508,533,8,0.9530956848030019,0.00309568480300193,0.9315361554429457,0.969419385015406,True,False
gp,3.0,0.95,adaptive,baseline,340,354,8,0.96045197740113,0.01045197740113002,0.9345348246083545,0.9782129060829337,True,False
gp,3.0,0.95,adaptive,elevated_risk,168,179,6,0.9385474860335196,-0.011452513966480393,0.8927063030357012,0.9689270118074371,True,False
gp,3.0,0.95,marginal,ALL,510,533,8,0.9568480300187617,0.006848030018761775,0.9359522129227005,0.9724518538961869,True,False
gp,3.0,0.95,marginal,baseline,348,354,8,0.9830508474576272,0.03305084745762721,0.9634756452863302,0.9937552035733619,False,True
gp,3.0,0.95,marginal,elevated_risk,162,179,6,0.9050279329608939,-0.044972067039106056,0.8522969488890902,0.9436972185220708,False,True
gp,3.0,0.95,mondrian,ALL,501,533,8,0.9399624765478424,-0.010037523452157582,0.9162989674480849,0.9585756358279084,True,False
gp,3.0,0.95,mondrian,baseline,334,354,8,0.943502824858757,-0.006497175141242928,0.9140908997191299,0.965152213406341,True,False
gp,3.0,0.95,mondrian,elevated_risk,167,179,6,0.9329608938547486,-0.017039106145251393,0.8858248186687775,0.9648827970266256,True,False
gp,6.0,0.8,aci,ALL,428,531,8,0.8060263653483992,0.006026365348399176,0.7697860926165491,0.838818084142545,True,False
gp,6.0,0.8,aci,baseline,294,352,8,0.8352272727272727,0.03522727272727266,0.7922635427136556,0.872439972372852,False,False
gp,6.0,0.8,aci,elevated_risk,134,179,6,0.7486033519553073,-0.051396648044692794,0.6784431254110741,0.8103370964450547,False,False
gp,6.0,0.8,adaptive,ALL,394,531,8,0.7419962335216572,-0.05800376647834282,0.7025569078085743,0.7787176317641036,False,True
gp,6.0,0.8,adaptive,baseline,271,352,8,0.7698863636363636,-0.030113636363636398,0.7223219392962744,0.8128450154826392,False,False
gp,6.0,0.8,adaptive,elevated_risk,123,179,6,0.6871508379888268,-0.11284916201117323,0.6137360915545196,0.7542431918111729,False,True
gp,6.0,0.8,marginal,ALL,386,531,8,0.7269303201506592,-0.07306967984934087,0.6868992926186548,0.764414068665909,False,True
gp,6.0,0.8,marginal,baseline,276,352,8,0.7840909090909091,-0.015909090909090984,0.7373829011489186,0.8259463566544849,True,False
gp,6.0,0.8,marginal,elevated_risk,110,179,6,0.6145251396648045,-0.18547486033519556,0.5390125340145154,0.68617776543147,False,True
gp,6.0,0.8,mondrian,ALL,385,531,8,0.7250470809792844,-0.07495291902071566,0.6849459533885827,0.7626222356526415,False,True
gp,6.0,0.8,mondrian,baseline,261,352,8,0.7414772727272727,-0.05852272727272734,0.6924047824678081,0.7864350779844415,False,True
gp,6.0,0.8,mondrian,elevated_risk,124,179,6,0.6927374301675978,-0.10726256983240223,0.6195587687669619,0.7594033930358052,False,True
gp,6.0,0.9,aci,ALL,481,531,8,0.9058380414312618,0.0058380414312617646,0.8777447476260514,0.9293025964952042,True,False
gp,6.0,0.9,aci,baseline,329,352,8,0.9346590909090909,0.03465909090909092,0.903567330157423,0.9581320331978103,False,True
gp,6.0,0.9,aci,elevated_risk,152,179,6,0.8491620111731844,-0.05083798882681567,0.7881775031215138,0.898183039243506,False,True
gp,6.0,0.9,adaptive,ALL,449,531,8,0.8455743879472694,-0.054425612052730665,0.8119850162946488,0.8752569045465929,False,True
gp,6.0,0.9,adaptive,baseline,306,352,8,0.8693181818181818,-0.030681818181818254,0.8295602978409866,0.9027121711241967,False,False
gp,6.0,0.9,adaptive,elevated_risk,143,179,6,0.7988826815642458,-0.10111731843575422,0.7326057837020166,0.8549859583909374,False,True
gp,6.0,0.9,marginal,ALL,452,531,8,0.8512241054613936,-0.048775894538606424,0.8180657713657199,0.880409416751195,False,True
gp,6.0,0.9,marginal,baseline,318,352,8,0.9034090909090909,0.003409090909090917,0.8676425715913952,0.9321774889515361,True,False
gp,6.0,0.9,marginal,elevated_risk,134,179,6,0.7486033519553073,-0.15139664804469277,0.6784431254110741,0.8103370964450547,False,True
gp,6.0,0.9,mondrian,ALL,444,531,8,0.8361581920903954,-0.06384180790960459,0.8018816178332022,0.8666377456106151,False,True
gp,6.0,0.9,mondrian,baseline,302,352,8,0.8579545454545454,-0.04204545454545461,0.8170529037590935,0.8926983287405739,False,True
gp,6.0,0.9,mondrian,elevated_risk,142,179,6,0.7932960893854749,-0.10670391061452511,0.7265251114525101,0.8500892061260695,False,True
gp,6.0,0.95,aci,ALL,504,531,8,0.9491525423728814,-0.0008474576271185752,0.9268791492876234,0.9662273675943442,True,False
gp,6.0,0.95,aci,baseline,340,352,8,0.9659090909090909,0.015909090909090984,0.9412076783816783,0.9822629962839916,True,False
gp,6.0,0.95,aci,elevated_risk,164,179,6,0.9162011173184358,-0.03379888268156417,0.8655535991702827,0.9523393142075304,False,False
gp,6.0,0.95,adaptive,ALL,485,531,8,0.9133709981167608,-0.03662900188323914,0.8861395589345353,0.9358795965897446,False,True
gp,6.0,0.95,adaptive,baseline,328,352,8,0.9318181818181818,-0.018181818181818188,0.9002472625281744,0.955829352710532,True,False
gp,6.0,0.95,adaptive,elevated_risk,157,179,6,0.8770949720670391,-0.07290502793296083,0.8198501726645707,0.9213487936650914,False,True
gp,6.0,0.95,marginal,ALL,486,531,8,0.9152542372881356,-0.03474576271186436,0.8882462848205701,0.9375156029490728,False,True
gp,6.0,0.95,marginal,baseline,337,352,8,0.9573863636363636,0.007386363636363691,0.9306884940106939,0.9759564029684674,True,False
gp,6.0,0.95,marginal,elevated_risk,149,179,6,0.8324022346368715,-0.11759776536312849,0.7694702290954423,0.8839740400342526,False,True
gp,6.0,0.95,mondrian,ALL,490,531,8,0.9227871939736346,-0.027212806026365333,0.8967082368118806,0.9440235441284934,False,True
