horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,3,0.95,mondrian,elevated_risk,34,1.0,0.8971820757409874,1.0,0.050000000000000044,0.0,1.1224177324688303,0.1375211458596548,10.840821928841914,,gp
1.5,1,1.43,4,0.8,marginal,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.120438598364372,0.19467052950708466,25.5706414985899,,gp
1.5,1,1.43,4,0.8,marginal,baseline,40,0.85,0.7016473331604236,0.9428977418454741,0.04999999999999993,0.15,1.1064343055394095,0.16695276126982572,26.89702972097363,,gp
1.5,1,1.43,4,0.8,marginal,elevated_risk,26,0.8461538461538461,0.6513212144646388,0.9564365234610761,0.0461538461538461,0.15384615384615385,1.1427024443203593,0.23750708041921212,23.530044233384174,,gp
1.5,1,1.43,4,0.8,adaptive,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.121611860516398,0.19094861403199245,22.66338928082463,,gp
1.5,1,1.43,4,0.8,adaptive,baseline,40,0.85,0.7016473331604236,0.9428977418454741,0.04999999999999993,0.15,1.1137556611031936,0.16572911073332916,20.49421217285257,,gp
1.5,1,1.43,4,0.8,adaptive,elevated_risk,26,0.8461538461538461,0.6513212144646388,0.9564365234610761,0.0461538461538461,0.15384615384615385,1.1341015460522026,0.22992421003901764,26.000584831550874,,gp
1.5,1,1.43,4,0.8,mondrian,ALL,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,0.07878787878787874,0.12121212121212122,1.1282531865336116,0.19857274514484508,26.04650472832416,,gp
1.5,1,1.43,4,0.8,mondrian,baseline,40,0.85,0.7016473331604236,0.9428977418454741,0.04999999999999993,0.15,1.0886212743782369,0.14855070718565236,27.87380441163183,,gp
1.5,1,1.43,4,0.8,mondrian,elevated_risk,26,0.9230769230769231,0.7486970833046261,0.9905446089962873,0.12307692307692308,0.07692307692307693,1.191259494541946,0.269437298920368,23.235274446312353,,gp
1.5,1,1.43,4,0.9,marginal,ALL,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.021212121212121238,0.12121212121212122,1.158718288364536,0.2279947646477759,24.151521423290422,,gp
1.5,1,1.43,4,0.9,marginal,baseline,40,0.85,0.7016473331604236,0.9428977418454741,-0.050000000000000044,0.15,1.1442271472331154,0.20599529763264898,24.82466534230859,,gp
1.5,1,1.43,4,0.9,marginal,elevated_risk,26,0.9230769230769231,0.7486970833046261,0.9905446089962873,0.023076923076923106,0.07692307692307693,1.1817561195430821,0.2591606762525391,23.1159153940317,,gp
1.5,1,1.43,4,0.9,adaptive,ALL,66,0.8787878787878788,0.7750598442768424,0.9461891381581342,-0.021212121212121238,0.12121212121212122,1.154558644083441,0.21904693516379053,21.83417875581284,,gp
1.5,1,1.43,4,0.9,adaptive,baseline,40,0.9,0.7633626001239001,0.9720745847057807,0.0,0.1,1.148685702060765,0.19029517753369588,18.691475055790065,,gp
1.5,1,1.43,4,0.9,adaptive,elevated_risk,26,0.8461538461538461,0.6513212144646388,0.9564365234610761,-0.05384615384615388,0.15384615384615385,1.1638953723378107,0.2660952658312182,26.669107525078633,,gp
1.5,1,1.43,4,0.9,mondrian,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1719349820422613,0.24053299693196664,24.862296371189927,,gp
1.5,1,1.43,4,0.9,mondrian,baseline,40,0.85,0.7016473331604236,0.9428977418454741,-0.050000000000000044,0.15,1.1314890926617667,0.19283603422440607,25.52315451020703,,gp
1.5,1,1.43,4,0.9,mondrian,elevated_risk,26,0.9615384615384616,0.803630353237461,0.9990267121066649,0.06153846153846154,0.038461538461538464,1.2362353406519537,0.30540086621424894,23.845591541932837,,gp
