model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
rnn_cov__default_cov,15.510473741901329,1.528454253222451,8,13.89080396040663,2.4955664520000096,8,0.919234333857761,0.09110807067154518,8,0.0,0.0,8,64.875,2.4748737341529163,8,21.34933978597119,3.182927231268286,8,0.2851203338477605,True,robi
gru_cov__default_cov,15.693465006060887,3.939526787988528,8,14.215545703101261,5.315895908565936,8,0.9317684065039314,0.24099546941243533,8,0.0,0.0,8,64.875,2.4748737341529163,8,21.71696223298307,5.544590096547523,8,0.2728105474644544,True,robi
transformer__default,15.751546363600681,2.4690317716492154,8,15.141115418775682,3.5084103658022405,8,0.9353685456431473,0.15846800109091563,8,18038.0,0.0,8,64.875,2.4748737341529163,8,21.884936093033527,3.8036673266721843,8,0.26718596618002144,True,robi
lstm_cov__default_cov,16.09224920821145,3.1518560641642948,8,14.710947550281775,4.709754538313558,8,0.9545073609815433,0.19205983152781253,8,0.0,0.0,8,64.875,2.4748737341529163,8,22.434531458071636,5.360481895083137,8,0.24878284200774914,True,robi
transformer__tuned,15.21852295938999,3.088845444352974,8,14.056751092407257,3.3340778666466275,8,0.9100502855337493,0.1842840146053669,8,5409.0,0.0,8,63.0,0.0,8,22.513600137926478,4.846639187079727,8,0.2461352382867727,True,robi
nbeats__default_cov,15.216406866698982,2.328794642688032,8,14.529933451462608,3.8124621145679036,8,0.9025872007876844,0.14416106103845616,8,34635.0,0.0,8,64.875,2.4748737341529163,8,22.55877978850705,4.593145260050756,8,0.24462240398614774,True,robi
nbeats__default,15.216406866698982,2.328794642688032,8,14.529933451462608,3.8124621145679036,8,0.9025872007876844,0.14416106103845616,8,34635.0,0.0,8,64.875,2.4748737341529163,8,22.55877978850705,4.593145260050756,8,0.24462240398614774,True,robi
nbeatsx__default,15.68583626607194,3.2718619194173875,8,15.194732728671305,5.244327856625263,8,0.9299103688000724,0.19491280839342554,8,41483.0,0.0,8,64.875,2.4748737341529163,8,22.685458850310617,5.081924434590264,8,0.24038057326358267,True,robi
nlinear__default_cov,17.473175366555278,4.822538912939779,8,15.559165836366954,5.417862087212182,8,1.0364507950971398,0.28759442335951835,8,311.0,0.0,8,64.875,2.4748737341529163,8,23.173550723571744,5.620443840199921,8,0.2240368849384843,True,robi
nbeatsx__default_cov,16.436956408241272,3.355590318724982,8,14.90481579209655,4.618235936979299,8,0.9758699620587031,0.20892419605280876,8,49931.0,0.0,8,64.875,2.4748737341529163,8,23.3873623889344,6.170297363763477,8,0.21687743113399954,True,robi
transformer__default_cov,17.817448392928856,4.719318060174878,8,16.69589220234876,6.576892125247236,8,1.0578105291207582,0.28831089216601014,8,18390.0,0.0,8,64.875,2.4748737341529163,8,24.434163610961864,6.61910756279179,8,0.18182543816218463,True,robi
dlinear__default_cov,19.005012642345232,6.286097424071759,8,17.040645204112018,7.018069708316934,8,1.126270260069856,0.37031363523031197,8,599.0,0.0,8,64.875,2.4748737341529163,8,24.97568497682569,6.670681508189244,8,0.16369267072656501,True,robi
tcn__default_cov,18.72730145652114,7.8419896032585825,8,17.371841422405083,10.393093934378335,8,1.1096311107117898,0.4628059121856856,8,23382.0,0.0,8,64.875,2.4748737341529163,8,25.575674871659814,10.197116876958992,8,0.1436020927502108,True,robi
cnn_cov__default_cov,19.15861256065617,6.614863431527103,8,17.452931356148742,9.22108849136909,8,1.1358951345885875,0.39178351288829766,8,0.0,0.0,8,64.875,2.4748737341529163,8,26.18959867663886,8.507625524073873,8,0.12304493973535623,True,robi
seasonal_naive_15,17.153282350352114,4.27534980500021,8,15.751377092854849,4.470261570877986,8,1.0194171734347497,0.2674064589106483,8,0.0,0.0,8,64.875,2.4748737341529163,8,26.216337210533034,6.973973029512781,8,0.12214960365586637,True,robi
persistence,17.191300616197182,1.9687834604158638,8,17.86005398627869,3.0078749880590587,8,1.0203903653849111,0.1305667612841073,8,0.0,0.0,8,64.875,2.4748737341529163,8,29.864242608663975,4.501714421320248,8,0.0,False,robi
rolling_mean_15,36.073961781103286,4.838535169971443,8,33.44424786767172,6.061975591546455,8,2.142207996319462,0.3186275946551111,8,0.0,0.0,8,64.875,2.4748737341529163,8,42.46106720892101,5.253944597893162,8,-0.42180291545724796,False,robi
train_mean,37.131237625394064,5.491615365188612,8,36.20578511423414,7.4994442127535175,8,2.205304233242927,0.35822763482281417,8,0.0,0.0,8,64.875,2.4748737341529163,8,45.0825994890676,5.226303764769694,8,-0.5095845583570432,False,robi
drift,56.38619277932776,19.021573985228233,8,47.69056942844989,20.905522756888764,8,3.3500401328180685,1.1545311843865305,8,0.0,0.0,8,64.875,2.4748737341529163,8,66.59356058687989,21.826745008906983,8,-1.2298760916026146,False,robi
seasonal_naive_24,65.66918904049295,8.310341422769012,8,53.72249168797463,9.192218641142398,8,3.8978323459989404,0.5406908414329947,8,0.0,0.0,8,64.875,2.4748737341529163,8,73.36341831248257,8.175049580806023,8,-1.4565638336730817,False,robi
