operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
robi,5,0.8,marginal,elevated_risk,29,0.7241379310344828,0.5276155175699662,0.8726598858977699,-0.07586206896551728,0.27586206896551724,1.0708557061180548,0.2696766628535773,82.81941075818293,
robi,5,0.8,adaptive,ALL,65,0.6,0.47097890895337186,0.7196003581328544,-0.20000000000000007,0.4,1.0368693386973797,0.2713943683657638,99.44109410622546,
robi,5,0.8,adaptive,baseline,36,0.6111111111111112,0.4346380474484255,0.7685755983378573,-0.18888888888888888,0.3888888888888889,1.0130745240649628,0.22443283626637883,118.14435648322215,
robi,5,0.8,adaptive,elevated_risk,29,0.5862068965517241,0.38936279139690627,0.7647597902471015,-0.21379310344827596,0.41379310344827586,1.067329108216138,0.3321681157884971,76.22325115547093,
robi,5,0.8,mondrian,ALL,65,0.6,0.47097890895337186,0.7196003581328544,-0.20000000000000007,0.4,1.0331304127436571,0.26371518392371107,108.99654520357575,
robi,5,0.8,mondrian,baseline,36,0.6388888888888888,0.46220900016816396,0.7917770529134072,-0.1611111111111112,0.3611111111111111,1.0291140798037628,0.23651696635420252,117.79867513020837,
robi,5,0.8,mondrian,elevated_risk,29,0.5517241379310345,0.3569387108039152,0.735544696293295,-0.24827586206896557,0.4482758620689655,1.0382717251493068,0.3028126216798795,98.06976322568698,
robi,5,0.9,marginal,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.1461538461538462,0.24615384615384617,1.1204674706519175,0.31567758109368693,79.02690030141974,
robi,5,0.9,marginal,baseline,36,0.6944444444444444,0.51892936999992,0.8365260153715064,-0.2055555555555556,0.3055555555555556,1.1009511735663222,0.30659537830747285,88.34805836147729,
robi,5,0.9,marginal,elevated_risk,29,0.8275862068965517,0.642252445585356,0.9415439170273656,-0.07241379310344831,0.1724137931034483,1.1454503049488054,0.32513820899599327,67.45580753721039,
robi,5,0.9,adaptive,ALL,65,0.6461538461538462,0.5176905435113225,0.7608245288484761,-0.25384615384615383,0.35384615384615387,1.078608855180497,0.3073509120615081,74.40984798056978,
