rmse,mae,mape,mase,model,fold,n_test,base_model,variant,n_parameters
9.150942228133143,5.663088379136773,7.174954015593797,0.40189722198751887,xgboost__tuned,7,71,xgboost,tuned,0
8.657458226207353,6.584726865627509,7.94487239975006,0.4738510207794869,cnn_cov__default_cov,0,66,cnn_cov,default_cov,0
10.856506725355924,8.728169152515516,10.349661538968395,0.6176275715330778,cnn_cov__default_cov,1,66,cnn_cov,default_cov,0
15.603257046583817,12.359588584921783,16.334388210435126,0.8692577995128811,cnn_cov__default_cov,2,66,cnn_cov,default_cov,0
12.246500141031776,8.943671622569122,12.155741644486625,0.6332003009389827,cnn_cov__default_cov,3,66,cnn_cov,default_cov,0
27.963122024144536,18.996945725421252,23.754930849239027,1.3617648304157377,cnn_cov__default_cov,4,66,cnn_cov,default_cov,0
16.93995511586741,14.125082201232688,15.426140146883686,1.0209691509425645,cnn_cov__default_cov,5,66,cnn_cov,default_cov,0
10.535583148446175,8.358509931873567,8.979152088084744,0.5920204086495696,cnn_cov__default_cov,6,66,cnn_cov,default_cov,0
11.685882747390075,9.086581678991234,11.091859575995702,0.6427202220328189,cnn_cov__default_cov,7,67,cnn_cov,default_cov,0
8.01760184781565,5.633074195365703,6.868037023446884,0.40536806037227374,cnn_cov__default,0,66,cnn_cov,default,0
6.990450193273722,5.398869211111863,6.3063559463299095,0.38203779299152346,cnn_cov__default,1,66,cnn_cov,default,0
8.443341055188327,5.749021041221821,7.641361490551549,0.4043323404585119,cnn_cov__default,2,66,cnn_cov,default,0
6.844964894967387,5.108582475748263,6.685285693193115,0.3616809848935634,cnn_cov__default,3,66,cnn_cov,default,0
7.235625029212145,5.030267653176064,6.926114175095891,0.3605864688293821,cnn_cov__default,4,66,cnn_cov,default,0
9.671116597930281,7.2866222679050985,7.934532667387356,0.526681292477931,cnn_cov__default,5,66,cnn_cov,default,0
8.057361900803867,6.037667863139899,6.514098001597657,0.42763873283156434,cnn_cov__default,6,66,cnn_cov,default,0
8.89390480890335,6.139765142191936,7.749977807370802,0.4342833592243737,cnn_cov__default,7,67,cnn_cov,default,0
7.475566880012035,5.195649259190211,6.47071355964589,0.37491056241760234,cnn_cov__tuned,0,66,cnn_cov,tuned,0
7.067153792998129,5.4119090087054325,6.637569211671704,0.3904620674171377,cnn_cov__tuned,1,66,cnn_cov,tuned,0
8.077346540841745,5.152258846729017,6.860050154429648,0.36456550084726463,cnn_cov__tuned,2,66,cnn_cov,tuned,0
6.548013052911739,4.785437749491018,6.2924034324967515,0.34075059847049266,cnn_cov__tuned,3,66,cnn_cov,tuned,0
6.7803505913459725,4.888424706413687,6.753769320697439,0.35247850566682026,cnn_cov__tuned,4,66,cnn_cov,tuned,0
10.460029628208135,7.371333289754489,7.734179466673391,0.5346305278120055,cnn_cov__tuned,5,66,cnn_cov,tuned,0
8.978446848235764,6.605008233780552,7.497432912246089,0.4690856686170078,cnn_cov__tuned,6,66,cnn_cov,tuned,0
10.84343060945498,7.461253324441514,9.248231450392156,0.529509126978391,cnn_cov__tuned,7,71,cnn_cov,tuned,0
8.756574325543731,6.3726495090511035,7.8172006485790675,0.4585894808631507,lstm_cov__default_cov,0,66,lstm_cov,default_cov,0
14.01826378877717,10.648224037035023,12.65106050110074,0.7534955657039091,lstm_cov__default_cov,1,66,lstm_cov,default_cov,0
9.836715988796778,6.868232453991666,9.247443974191523,0.4830471976052052,lstm_cov__default_cov,2,66,lstm_cov,default_cov,0
9.714420491235108,7.821015429939173,9.760779651834559,0.5537177048617248,lstm_cov__default_cov,3,66,lstm_cov,default_cov,0
17.420640292331992,11.872566181813028,17.3690355817086,0.8510653926615737,lstm_cov__default_cov,4,66,lstm_cov,default_cov,0
13.651298917505011,10.854117988903894,11.047186540533591,0.7845419566050049,lstm_cov__default_cov,5,66,lstm_cov,default_cov,0
9.586313596732941,6.905472423151212,7.483151687694201,0.48910399571134394,lstm_cov__default_cov,6,66,lstm_cov,default_cov,0
12.521069112123685,8.925365033088585,11.45674222326166,0.6313169020484175,lstm_cov__default_cov,7,67,lstm_cov,default_cov,0
8.988590723464382,6.6152230314594815,8.265712816095462,0.4760455900614374,lstm_cov__default,0,66,lstm_cov,default,0
8.219310548995411,6.405445522701586,7.016834211883029,0.45326570711950626,lstm_cov__default,1,66,lstm_cov,default,0
9.7228932997366,6.510779750024916,8.632958382602189,0.4579073194656423,lstm_cov__default,2,66,lstm_cov,default,0
7.97105534070244,6.386563760030629,8.219186531665086,0.452160395134872,lstm_cov__default,3,66,lstm_cov,default,0
10.476204102988735,7.713705423758531,10.807769369425856,0.5529442948402468,lstm_cov__default,4,66,lstm_cov,default,0
10.466829757492437,8.283228538345028,8.782588507253028,0.5987165729286383,lstm_cov__default,5,66,lstm_cov,default,0
8.054376017612208,5.7456197802106574,6.393228125916408,0.4069534160932569,lstm_cov__default,6,66,lstm_cov,default,0
9.398657380423211,6.3703610731155385,8.07739210892872,0.45059407684723407,lstm_cov__default,7,67,lstm_cov,default,0
8.51485880293035,5.433101836699108,7.0624389619254675,0.39204479818686694,lstm_cov__tuned,0,66,lstm_cov,tuned,0
7.40427409893881,5.568571144303719,6.705908753314499,0.40176503301639177,lstm_cov__tuned,1,66,lstm_cov,tuned,0
7.795694352567891,4.911808561395431,6.510394223059722,0.3475516276492675,lstm_cov__tuned,2,66,lstm_cov,tuned,0
7.985433393428365,5.997102389728453,7.53173948801116,0.42702806626335116,lstm_cov__tuned,3,66,lstm_cov,tuned,0
7.644571797243105,5.234707121304262,7.1698242046802765,0.3774471030104976,lstm_cov__tuned,4,66,lstm_cov,tuned,0
9.468392954214178,6.590572358923751,7.427540944736243,0.47800323772254427,lstm_cov__tuned,5,66,lstm_cov,tuned,0
8.722735164843531,6.380038002763097,7.0589331749552064,0.4531083514811982,lstm_cov__tuned,6,66,lstm_cov,tuned,0
9.424295349017958,6.391737326984605,7.819155359767498,0.4536078731973822,lstm_cov__tuned,7,71,lstm_cov,tuned,0
8.588762232475908,6.18778740766596,7.666800593644023,0.4452864088857767,gru_cov__default_cov,0,66,gru_cov,default_cov,0
10.45659150707777,8.605706671748615,10.148993754452352,0.6089618131960985,gru_cov__default_cov,1,66,gru_cov,default_cov,0
10.043948415103813,7.192786188941703,9.446506976259007,0.5058732701340701,gru_cov__default_cov,2,66,gru_cov,default_cov,0
9.031894195585826,6.872913966808404,8.559849777518226,0.48659335625973055,gru_cov__default_cov,3,66,gru_cov,default_cov,0
12.88079597269715,9.57460879626749,12.389254707220353,0.6863400944657438,gru_cov__default_cov,4,66,gru_cov,default_cov,0
12.105960797433545,9.382119981419855,9.607430238875487,0.6781450851051016,gru_cov__default_cov,5,66,gru_cov,default_cov,0
11.11478062809203,7.9062393203272965,8.513059432383919,0.5599867765249266,gru_cov__default_cov,6,66,gru_cov,default_cov,0
10.92343945903762,7.71133280359927,9.729552326519139,0.5454448886050743,gru_cov__default_cov,7,67,gru_cov,default_cov,0
8.874536210433474,6.418364173084425,7.961327607044116,0.46187920580677094,gru_cov__default,0,66,gru_cov,default,0
10.375767005460624,8.473195275155584,9.125280602145416,0.5995849678751503,gru_cov__default,1,66,gru_cov,default,0
9.661011848224538,6.225021818692312,8.44985087402798,0.43780978071046334,gru_cov__default,2,66,gru_cov,default,0
7.773340237700277,6.010587195754947,7.758027633180631,0.42554174412753765,gru_cov__default,3,66,gru_cov,default,0
13.277672492191403,10.223518904118865,13.965415624568076,0.7328561489802751,gru_cov__default,4,66,gru_cov,default,0
9.786974979661439,7.829708137813215,8.296790007025063,0.5659358547940785,gru_cov__default,5,66,gru_cov,default,0
7.85543679568846,5.696708872035103,6.282350564432226,0.40348913165960515,gru_cov__default,6,66,gru_cov,default,0
9.470511871656248,6.551788496121021,8.24100409087516,0.463426963593471,gru_cov__default,7,67,gru_cov,default,0
7.928910761839219,5.765471093293418,6.920079999608964,0.41457634798289544,gru_cov__tuned,0,64,gru_cov,tuned,0
9.885966693558078,6.952921153584186,9.208051636203592,0.4980000249152527,gru_cov__tuned,1,64,gru_cov,tuned,0
7.145110505903702,4.966188725999055,5.962792647979835,0.34639051667238624,gru_cov__tuned,2,64,gru_cov,tuned,0
7.0762178476112645,5.34227313219272,6.795001507262688,0.3799787489141506,gru_cov__tuned,3,64,gru_cov,tuned,0
8.66576307615394,6.21599426058622,8.5664299330524,0.4488592622622245,gru_cov__tuned,4,64,gru_cov,tuned,0
9.44672165979874,6.935057148325002,7.388313804813302,0.5038276459587141,gru_cov__tuned,5,64,gru_cov,tuned,0
6.894316848221312,4.352359170773094,4.777087023238781,0.3101208648728942,gru_cov__tuned,6,64,gru_cov,tuned,0
9.586147062672067,6.533102081763184,8.080727111232672,0.4635357947907511,gru_cov__tuned,7,67,gru_cov,tuned,0
8.603839490464443,6.86009151438149,8.441661207145126,0.49366684952399836,rnn_cov__default_cov,0,66,rnn_cov,default_cov,0
10.699963513750165,8.59060276942766,10.36051856423741,0.6078930224396228,rnn_cov__default_cov,1,66,rnn_cov,default_cov,0
9.826101549553625,6.287247667942476,8.430291563329465,0.4421861646346019,rnn_cov__default_cov,2,66,rnn_cov,default_cov,0
7.8875383795266965,6.32293923199744,8.048966828560411,0.4476558614268082,rnn_cov__default_cov,3,66,rnn_cov,default_cov,0
13.274735437410786,8.410151501428967,12.452026740438885,0.6028678872198083,rnn_cov__default_cov,4,66,rnn_cov,default_cov,0
11.99559683928462,9.722208203738456,9.841068364508704,0.7027268594721128,rnn_cov__default_cov,5,66,rnn_cov,default_cov,0
8.118269208920982,6.3386555742147745,6.760954171455687,0.44895722968822893,rnn_cov__default_cov,6,66,rnn_cov,default_cov,0
9.647402459701834,6.792567582563529,8.465153891768812,0.4804579652799455,rnn_cov__default_cov,7,67,rnn_cov,default_cov,0
8.183146758852944,5.984438234571435,7.519313998620736,0.43065296771018396,rnn_cov__default,0,66,rnn_cov,default,0
8.306679154808203,6.443063812363204,7.427849542412482,0.45592767350477464,rnn_cov__default,1,66,rnn_cov,default,0
8.94994390280556,5.972614314077434,8.027853669765312,0.4200577988759115,rnn_cov__default,2,66,rnn_cov,default,0
7.506554898080336,5.759877847479839,7.455288704483043,0.4077918488411974,rnn_cov__default,3,66,rnn_cov,default,0
13.333469333265557,9.945188975553584,13.767733141975015,0.7129045255219246,rnn_cov__default,4,66,rnn_cov,default,0
9.716835648948418,7.6956873796343235,8.335593054088672,0.5562487565006158,rnn_cov__default,5,66,rnn_cov,default,0
8.65148525559405,6.503533258408164,7.213798600650093,0.46063526258750737,rnn_cov__default,6,66,rnn_cov,default,0
9.176413415362113,6.390401251747832,8.005512760078956,0.45201157668547415,rnn_cov__default,7,67,rnn_cov,default,0
8.008263141225811,4.8323166266753494,6.30581066579764,0.3486930033012186,rnn_cov__tuned,0,66,rnn_cov,tuned,0
7.335063144383599,5.848657167707566,7.059581678370306,0.4219728686575663,rnn_cov__tuned,1,66,rnn_cov,tuned,0
7.804590833327374,4.746043222704113,6.52324151271739,0.33582234045293746,rnn_cov__tuned,2,66,rnn_cov,tuned,0
7.380888207115978,5.367685761551385,7.1119636328320315,0.3822099944450672,rnn_cov__tuned,3,66,rnn_cov,tuned,0
7.951345704551737,5.2443501971385444,7.518423817832387,0.3781424143151067,rnn_cov__tuned,4,66,rnn_cov,tuned,0
8.990466596883651,6.59452510849424,7.2930576699407546,0.47828992406626397,rnn_cov__tuned,5,66,rnn_cov,tuned,0
8.495888933847745,6.070602540027033,6.79750389010202,0.43113233937132706,rnn_cov__tuned,6,66,rnn_cov,tuned,0
9.964127014602388,6.727630513641008,8.300940569327118,0.477445491395091,rnn_cov__tuned,7,71,rnn_cov,tuned,0
9.026806696667297,7.213326886939646,9.041300453767969,0.5190864220101159,dlinear__default_cov,0,66,dlinear,default_cov,795
26.24919815047683,22.386920153556407,26.33420712158256,1.5841557246356748,dlinear__default_cov,1,66,dlinear,default_cov,795
10.38075010286788,7.858909201144561,10.33722086534654,0.5527221292052164,dlinear__default_cov,2,66,dlinear,default_cov,795
10.897075406015185,8.64524344913586,10.813026341644564,0.6120719749895187,dlinear__default_cov,3,66,dlinear,default_cov,795
28.62281156788575,19.298946404608337,23.511123822219695,1.3834132527265048,dlinear__default_cov,4,66,dlinear,default_cov,795
14.390302959437728,11.91574318021743,12.867711897156333,0.8612768424451757,dlinear__default_cov,5,66,dlinear,default_cov,795
9.733962496781178,7.489665694389773,8.004724116824294,0.5304815070127462,dlinear__default_cov,6,66,dlinear,default_cov,795
10.398805610211179,8.3039843824233,9.754432848779233,0.5873648501248797,dlinear__default_cov,7,67,dlinear,default_cov,795
8.513033935213892,6.937573001425945,8.568075887316235,0.49924258295634155,dlinear__default,0,66,dlinear,default,75
7.977513219085474,6.377869252863875,7.3912250518787665,0.45131433973945295,dlinear__default,1,66,dlinear,default,75
9.614784310004605,7.118628312343903,9.1939239924579,0.5006576990667133,dlinear__default,2,66,dlinear,default,75
7.526291370979642,6.140349337766388,7.729744578042097,0.4347287347550546,dlinear__default,3,66,dlinear,default,75
8.10267572929664,5.93365788337056,8.355943437754238,0.4253445126434365,dlinear__default,4,66,dlinear,default,75
10.274735981629137,8.465313426165563,9.121382433034851,0.611877774447266,dlinear__default,5,66,dlinear,default,75
9.52526413838113,7.245275619700035,7.923759826526809,0.5131717337317463,dlinear__default,6,66,dlinear,default,75
10.024132028233675,7.734547621936096,9.306134727643503,0.5470869398981798,dlinear__default,7,67,dlinear,default,75
8.477388476733042,6.908392368392839,8.57125654519327,0.49849963672091885,dlinear__tuned,0,66,dlinear,tuned,211
8.23578828422143,6.6782312012522445,8.067106154585394,0.4818255364855703,dlinear__tuned,1,66,dlinear,tuned,211
9.294016803295088,6.768298654330886,8.707129521729273,0.47891386325951496,dlinear__tuned,2,66,dlinear,tuned,211
7.9255526074501805,6.422984897535293,8.067833150008807,0.4573533420291324,dlinear__tuned,3,66,dlinear,tuned,211
10.786927006217494,7.783513635708463,10.788915302409267,0.5612280887853907,dlinear__tuned,4,66,dlinear,tuned,211
10.860449315856378,8.902552876368723,9.347785579742714,0.645687334445004,dlinear__tuned,5,66,dlinear,tuned,211
10.883433835638392,8.774830354330852,9.819612875893814,0.6231857732910224,dlinear__tuned,6,66,dlinear,tuned,211
10.901011302545458,7.925849426653186,9.564581861868586,0.5624805147308743,dlinear__tuned,7,71,dlinear,tuned,211
8.691459547266865,6.63739903450962,8.1259380266189,0.477641422644406,nlinear__default_cov,0,66,nlinear,default_cov,411
16.81245978763742,13.620960582841771,16.37337167830725,0.9638540064617961,nlinear__default_cov,1,66,nlinear,default_cov,411
9.6379767750807,6.818485248995383,8.829917994594023,0.47954844474220615,nlinear__default_cov,2,66,nlinear,default_cov,411
11.318403814259225,9.208266056236186,11.653175675729786,0.6519332421844974,nlinear__default_cov,3,66,nlinear,default_cov,411
17.523933146821477,11.869162670735241,14.78499569852243,0.8508214175640685,nlinear__default_cov,4,66,nlinear,default_cov,411
14.476358528458494,12.395495218130147,13.32267661917429,0.895953598575343,nlinear__default_cov,5,66,nlinear,default_cov,411
9.16834683402857,7.266304910003757,7.732741670422012,0.5146612060349071,nlinear__default_cov,6,66,nlinear,default_cov,411
10.376702417240827,8.089928317290061,9.516401682225416,0.5722240450817692,nlinear__default_cov,7,67,nlinear,default_cov,411
8.587030612354987,6.622663660046728,8.223979276365439,0.4765810335996823,nlinear__default,0,66,nlinear,default,51
9.684045104959207,7.533314465177017,9.091651213538817,0.533076598014983,nlinear__default,1,66,nlinear,default,51
9.696021906332437,7.312141328027695,9.606391933145568,0.5142675936869605,nlinear__default,2,66,nlinear,default,51
7.823713175494556,6.37549382714999,8.108348240218787,0.4513766583065087,nlinear__default,3,66,nlinear,default,51
7.752236426554561,5.561743399126649,7.8367681738036445,0.3986844341294555,nlinear__default,4,66,nlinear,default,51
10.017398440728257,8.160158101206964,8.914507366840871,0.5898209702042865,nlinear__default,5,66,nlinear,default,51
9.564422367789769,7.254736424972005,7.9731448946236645,0.5138418280247383,nlinear__default,6,66,nlinear,default,51
9.977089599144302,7.728531080861397,9.31567575233125,0.5466613725339046,nlinear__default,7,67,nlinear,default,51
8.840726163438873,6.922439540720223,8.51519777981023,0.4981535467746336,nlinear__tuned,0,66,nlinear,tuned,186
7.739839156074639,6.029971728603059,7.0760974384155695,0.4266962211745016,nlinear__tuned,1,66,nlinear,tuned,186
10.00353569376728,7.302494420840452,9.528876033125416,0.5135891205115735,nlinear__tuned,2,66,nlinear,tuned,186
7.581535558605357,5.9657933546473565,7.542774061525462,0.42237039852513825,nlinear__tuned,3,66,nlinear,tuned,186
7.441531329199243,5.263433959746478,7.228363104707449,0.3773006122772222,nlinear__tuned,4,66,nlinear,tuned,186
10.2811333378871,8.311383986871656,9.041669751302432,0.6007516651119694,nlinear__tuned,5,66,nlinear,tuned,186
9.438626222895385,7.10097966749565,7.816365140525816,0.502951473268244,nlinear__tuned,6,66,nlinear,tuned,186
9.932238993051143,7.489916191145964,8.918256964618825,0.5297834507459098,nlinear__tuned,7,67,nlinear,tuned,186
9.845041794065141,7.343450020968746,9.050024427415128,0.528450360886393,tcn__default_cov,0,66,tcn,default_cov,23898
11.35617692826942,9.117830518202373,11.210812261715638,0.6452010063284008,tcn__default_cov,1,66,tcn,default_cov,23898
