operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
gp,1,0.95,mondrian,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.0676470588235294,0.11764705882352941,1.1486787878191786,0.20248677275344013,16.862811369639246,
gp,2,0.8,marginal,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.10909090909090902,0.09090909090909091,1.103943439569603,0.14946523104793108,13.528936445726206,
gp,2,0.8,marginal,baseline,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.10909090909090902,0.09090909090909091,1.103943439569603,0.14946523104793108,13.528936445726206,
gp,2,0.8,adaptive,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.107410723513486,0.16996748505697484,14.464640362623905,
gp,2,0.8,adaptive,baseline,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.107410723513486,0.16996748505697484,14.464640362623905,
gp,2,0.8,mondrian,ALL,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,0.0636363636363636,0.13636363636363635,1.0851654728647144,0.1366163478802197,13.761202983053678,
gp,2,0.8,mondrian,baseline,66,0.8636363636363636,0.7568586684861609,0.9357018153567446,0.0636363636363636,0.13636363636363635,1.0851654728647144,0.1366163478802197,13.761202983053678,
gp,2,0.9,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.0696969696969697,0.030303030303030304,1.141637871406095,0.17899935326547145,15.030444736028937,
gp,2,0.9,marginal,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.0696969696969697,0.030303030303030304,1.141637871406095,0.17899935326547145,15.030444736028937,
gp,2,0.9,adaptive,ALL,66,0.9242424242424242,0.8319934099362835,0.9749443870832766,0.024242424242424176,0.07575757575757576,1.1427752414001433,0.1961337269121847,15.896587324406307,
gp,2,0.9,adaptive,baseline,66,0.9242424242424242,0.8319934099362835,0.9749443870832766,0.024242424242424176,0.07575757575757576,1.1427752414001433,0.1961337269121847,15.896587324406307,
gp,2,0.9,mondrian,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.054545454545454564,0.045454545454545456,1.1190301593723975,0.15778713570342637,13.759539993362928,
gp,2,0.9,mondrian,baseline,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.054545454545454564,0.045454545454545456,1.1190301593723975,0.15778713570342637,13.759539993362928,
gp,2,0.95,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.165837313764719,0.20443661674766497,16.479115296198206,
gp,2,0.95,marginal,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.165837313764719,0.20443661674766497,16.479115296198206,
gp,2,0.95,adaptive,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.1700751592744352,0.22050639950372117,17.66512786187332,
gp,2,0.95,adaptive,baseline,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.1700751592744352,0.22050639950372117,17.66512786187332,
gp,2,0.95,mondrian,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1537553513251497,0.19173665212026658,15.755843121745084,
gp,2,0.95,mondrian,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1537553513251497,0.19173665212026658,15.755843121745084,
gp,3,0.8,marginal,ALL,66,0.7575757575757576,0.6363888076622838,0.8546316735018541,-0.042424242424242475,0.24242424242424243,1.0900069542617805,0.15420066173276495,16.802838988369427,
gp,3,0.8,marginal,baseline,32,0.78125,0.6002717362878925,0.9072284677152807,-0.018750000000000044,0.21875,1.1308168926863786,0.20360515998132367,18.71243215638732,
gp,3,0.8,marginal,elevated_risk,34,0.7352941176470589,0.5563846316948933,0.8711826084164918,-0.06470588235294117,0.2647058823529412,1.0545775371918642,0.10479616348420619,15.005574830234941,
gp,3,0.8,adaptive,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.1240918803418298,0.17724389414277603,15.222530731513015,
gp,3,0.8,adaptive,baseline,32,0.90625,0.7497730493162054,0.9802328198267152,0.10624999999999996,0.09375,1.1829002493146372,0.2271842267531159,17.13845963560775,
gp,3,0.8,adaptive,elevated_risk,34,0.7941176470588235,0.6210222514603168,0.912978694541873,-0.005882352941176561,0.20588235294117646,1.0730370071425295,0.12360427763537386,13.419303527659144,
gp,3,0.8,mondrian,ALL,66,0.7575757575757576,0.6363888076622838,0.8546316735018541,-0.042424242424242475,0.24242424242424243,1.0849028277640778,0.1484013611938041,17.41455535846443,
gp,3,0.8,mondrian,baseline,32,0.78125,0.6002717362878925,0.9072284677152807,-0.018750000000000044,0.21875,1.1198334967761554,0.192006558903402,19.97409716970826,
gp,3,0.8,mondrian,elevated_risk,34,0.7352941176470589,0.5563846316948933,0.8711826084164918,-0.06470588235294117,0.2647058823529412,1.0545775371918642,0.10479616348420619,15.005574830234941,
gp,3,0.9,marginal,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,-0.051515151515151514,0.15151515151515152,1.134447656170535,0.18224497405494647,12.454238881605109,
gp,3,0.9,marginal,baseline,32,0.875,0.7100515798092444,0.9648693468966886,-0.025000000000000022,0.125,1.1771831629022134,0.2274222660628433,14.923032964354856,
