operator,model,horizon_hours,lead_hours,fold,tau,method,n,coverage,mean_allocation_ratio,natively_expressible
gp,chronos-bolt-small,3.0,2.87,7,0.95,zero_shot,71,0.9014084507042254,1.1730915166222764,False
gp,chronos-bolt-small,3.0,2.87,7,0.95,conformal,71,0.9577464788732395,1.2414280251695695,False
gp,chronos-bolt-small,6.0,5.73,0,0.8,zero_shot,66,0.7272727272727273,1.1474150690194989,True
gp,chronos-bolt-small,6.0,5.73,0,0.8,conformal,66,0.8181818181818181,1.179023779759368,True
gp,chronos-bolt-small,6.0,5.73,0,0.9,zero_shot,66,0.9242424242424242,1.2010183891396589,True
gp,chronos-bolt-small,6.0,5.73,0,0.9,conformal,66,1.0,1.2612869403314235,True
gp,chronos-bolt-small,6.0,5.73,0,0.95,zero_shot,66,0.9242424242424242,1.2010183891396589,False
gp,chronos-bolt-small,6.0,5.73,0,0.95,conformal,66,1.0,1.2770313658527308,False
gp,chronos-bolt-small,6.0,5.73,1,0.8,zero_shot,66,0.7878787878787878,1.1149904387190686,True
gp,chronos-bolt-small,6.0,5.73,1,0.8,conformal,66,0.9090909090909091,1.1653989870831372,True
gp,chronos-bolt-small,6.0,5.73,1,0.9,zero_shot,66,0.9090909090909091,1.1675384927070613,True
gp,chronos-bolt-small,6.0,5.73,1,0.9,conformal,66,0.9848484848484849,1.2180428720400869,True
gp,chronos-bolt-small,6.0,5.73,1,0.95,zero_shot,66,0.9090909090909091,1.1675384927070613,False
gp,chronos-bolt-small,6.0,5.73,1,0.95,conformal,66,0.9848484848484849,1.2348428344731783,False
gp,chronos-bolt-small,6.0,5.73,2,0.8,zero_shot,66,0.7727272727272727,1.1143210642888857,True
gp,chronos-bolt-small,6.0,5.73,2,0.8,conformal,66,0.8484848484848485,1.1399562271506234,True
gp,chronos-bolt-small,6.0,5.73,2,0.9,zero_shot,66,0.9090909090909091,1.1702233534000221,True
gp,chronos-bolt-small,6.0,5.73,2,0.9,conformal,66,0.9090909090909091,1.17731347117047,True
gp,chronos-bolt-small,6.0,5.73,2,0.95,zero_shot,66,0.9090909090909091,1.1702233534000221,False
gp,chronos-bolt-small,6.0,5.73,2,0.95,conformal,66,0.9242424242424242,1.1963940518506506,False
gp,chronos-bolt-small,6.0,5.73,3,0.8,zero_shot,66,0.8787878787878788,1.130041323254903,True
gp,chronos-bolt-small,6.0,5.73,3,0.8,conformal,66,0.9393939393939394,1.1455831853952474,True
gp,chronos-bolt-small,6.0,5.73,3,0.9,zero_shot,66,0.9545454545454546,1.1849147545379282,True
gp,chronos-bolt-small,6.0,5.73,3,0.9,conformal,66,0.9545454545454546,1.1792224101293827,True
gp,chronos-bolt-small,6.0,5.73,3,0.95,zero_shot,66,0.9545454545454546,1.1849147545379282,False
gp,chronos-bolt-small,6.0,5.73,3,0.95,conformal,66,0.9696969696969697,1.2140501648743873,False
gp,chronos-bolt-small,6.0,5.73,4,0.8,zero_shot,66,0.8333333333333334,1.0981554194337297,True
gp,chronos-bolt-small,6.0,5.73,4,0.8,conformal,66,0.803030303030303,1.0925670551846325,True
gp,chronos-bolt-small,6.0,5.73,4,0.9,zero_shot,66,0.9242424242424242,1.150315736974159,True
gp,chronos-bolt-small,6.0,5.73,4,0.9,conformal,66,0.8787878787878788,1.1335899780789094,True
gp,chronos-bolt-small,6.0,5.73,4,0.95,zero_shot,66,0.9242424242424242,1.150315736974159,False
gp,chronos-bolt-small,6.0,5.73,4,0.95,conformal,66,0.9393939393939394,1.1808669435520558,False
gp,chronos-bolt-small,6.0,5.73,5,0.8,zero_shot,66,0.48484848484848486,1.0388919228587845,True
gp,chronos-bolt-small,6.0,5.73,5,0.8,conformal,66,0.4696969696969697,1.0292324979878282,True
gp,chronos-bolt-small,6.0,5.73,5,0.9,zero_shot,66,0.6515151515151515,1.0911651531057052,True
gp,chronos-bolt-small,6.0,5.73,5,0.9,conformal,66,0.5606060606060606,1.0659159174868102,True
gp,chronos-bolt-small,6.0,5.73,5,0.95,zero_shot,66,0.6515151515151515,1.0911651531057052,False
gp,chronos-bolt-small,6.0,5.73,5,0.95,conformal,66,0.7121212121212122,1.1089297679325358,False
gp,chronos-bolt-small,6.0,5.73,6,0.8,zero_shot,66,0.9242424242424242,1.1426182995054417,True
gp,chronos-bolt-small,6.0,5.73,6,0.8,conformal,66,0.9545454545454546,1.1697383724345465,True
gp,chronos-bolt-small,6.0,5.73,6,0.9,zero_shot,66,0.9696969696969697,1.2005150348154545,True
gp,chronos-bolt-small,6.0,5.73,6,0.9,conformal,66,0.9848484848484849,1.2356366821925948,True
gp,chronos-bolt-small,6.0,5.73,6,0.95,zero_shot,66,0.9696969696969697,1.2005150348154545,False
gp,chronos-bolt-small,6.0,5.73,6,0.95,conformal,66,1.0,1.2800539560494688,False
